[INFO][2017-06-28 13:31:54,717][org.hibernate.engine.transaction.internal.TransactionFactoryInitiator]HHH000399: Using default transaction strategy (direct JDBC transactions)
[INFO][2017-06-28 13:31:54,720][org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory]HHH000397: Using ASTQueryTranslatorFactory
[WARN][2017-06-28 13:31:54,741][org.hibernate.id.UUIDHexGenerator]HHH000409: Using org.hibernate.id.UUIDHexGenerator which does not generate IETF RFC 4122 compliant UUID values; consider using org.hibernate.id.UUIDGenerator instead
[INFO][2017-06-28 13:31:54,828][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000228: Running hbm2ddl schema update
[INFO][2017-06-28 13:31:54,829][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000102: Fetching database metadata
[INFO][2017-06-28 13:31:54,832][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000396: Updating schema
[INFO][2017-06-28 13:31:54,843][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000261: Table found: HemsCommunity.t_user
[INFO][2017-06-28 13:31:54,843][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000037: Columns: [id]
[INFO][2017-06-28 13:31:54,843][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000108: Foreign keys: []
[INFO][2017-06-28 13:31:54,843][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000126: Indexes: []
[INFO][2017-06-28 13:31:54,947][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000232: Schema update complete
[INFO][2017-06-28 13:32:48,659][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} closed
[ERROR][2017-06-28 13:33:28,041][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2017-06-28 13:33:28,080][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2017-06-28 13:33:28,206][org.hibernate.annotations.common.Version]HCANN000001: Hibernate Commons Annotations {4.0.2.Final}
[INFO][2017-06-28 13:33:28,212][org.hibernate.Version]HHH000412: Hibernate Core {4.2.5.Final}
[INFO][2017-06-28 13:33:28,214][org.hibernate.cfg.Environment]HHH000206: hibernate.properties not found
[INFO][2017-06-28 13:33:28,215][org.hibernate.cfg.Environment]HHH000021: Bytecode provider name : javassist
[INFO][2017-06-28 13:33:28,700][org.hibernate.dialect.Dialect]HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
[INFO][2017-06-28 13:33:28,797][org.hibernate.engine.transaction.internal.TransactionFactoryInitiator]HHH000399: Using default transaction strategy (direct JDBC transactions)
[INFO][2017-06-28 13:33:28,801][org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory]HHH000397: Using ASTQueryTranslatorFactory
[WARN][2017-06-28 13:33:28,827][org.hibernate.id.UUIDHexGenerator]HHH000409: Using org.hibernate.id.UUIDHexGenerator which does not generate IETF RFC 4122 compliant UUID values; consider using org.hibernate.id.UUIDGenerator instead
[INFO][2017-06-28 13:33:28,945][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000228: Running hbm2ddl schema update
[INFO][2017-06-28 13:33:28,945][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000102: Fetching database metadata
[INFO][2017-06-28 13:33:28,948][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000396: Updating schema
[INFO][2017-06-28 13:33:28,961][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000261: Table found: HemsCommunity.t_user
[INFO][2017-06-28 13:33:28,961][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000037: Columns: [asd]
[INFO][2017-06-28 13:33:28,961][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000108: Foreign keys: []
[INFO][2017-06-28 13:33:28,961][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000126: Indexes: []
[INFO][2017-06-28 13:33:29,090][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000232: Schema update complete
[INFO][2017-06-28 13:38:00,727][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} closed
[ERROR][2017-06-28 13:38:08,093][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2017-06-28 13:38:08,131][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2017-06-28 13:38:08,238][org.hibernate.annotations.common.Version]HCANN000001: Hibernate Commons Annotations {4.0.2.Final}
[INFO][2017-06-28 13:38:08,243][org.hibernate.Version]HHH000412: Hibernate Core {4.2.5.Final}
[INFO][2017-06-28 13:38:08,245][org.hibernate.cfg.Environment]HHH000206: hibernate.properties not found
[INFO][2017-06-28 13:38:08,247][org.hibernate.cfg.Environment]HHH000021: Bytecode provider name : javassist
[INFO][2017-06-28 13:38:08,610][org.hibernate.dialect.Dialect]HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
[INFO][2017-06-28 13:38:08,721][org.hibernate.engine.transaction.internal.TransactionFactoryInitiator]HHH000399: Using default transaction strategy (direct JDBC transactions)
[INFO][2017-06-28 13:38:08,727][org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory]HHH000397: Using ASTQueryTranslatorFactory
[INFO][2017-06-28 13:38:08,877][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000228: Running hbm2ddl schema update
[INFO][2017-06-28 13:38:08,877][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000102: Fetching database metadata
[INFO][2017-06-28 13:38:08,880][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000396: Updating schema
[INFO][2017-06-28 13:38:08,893][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000261: Table found: HemsCommunity.t_user
[INFO][2017-06-28 13:38:08,893][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000037: Columns: [birthday, password, name, id]
[INFO][2017-06-28 13:38:08,893][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000108: Foreign keys: []
[INFO][2017-06-28 13:38:08,894][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000126: Indexes: [primary]
[INFO][2017-06-28 13:38:08,894][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000232: Schema update complete
